"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"Seq";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"Latitude.WGS84";"Longitude.WGS84";"X";"Y"
"90254";"103";"1";"1";"CABRALIA, RUA";"156";28;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.9342199629933";"-43.9181325167525";"613221.13";"7795433.41"
"90382";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"110";29;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;7;"-19.9340639805358";"-43.9172228457945";"613316.45";"7795450.06"
"90383";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"225";21;0;0;0;0;0;2;0;0;0;2;0;0;0;2;4;0;0;2;0;0;0;0;0;0;12;"-19.9343284138908";"-43.9159868902695";"613445.62";"7795419.96"
"90384";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"226";30;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;5;"-19.9343691185785";"-43.9161127319028";"613432.42";"7795415.54"
"90385";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"326";31;0;0;0;0;0;0;0;4;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;9;"-19.9352312880399";"-43.9153872027235";"613507.74";"7795319.63"
"90386";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"498";32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;"-19.9364463258981";"-43.9146673766273";"613582.21";"7795184.67"
"90387";"103";"1";"1";"DOUTOR CAMILO ANTONIO NOGUEIRA, RUA";"532";33;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"-19.9365489082082";"-43.9134304037257";"613711.6";"7795172.48"
"90588";"103";"1";"1";"DO OURO, RUA";"432";25;0;0;0;0;0;0;3;0;4;12;2;0;2;2;8;8;2;7;14;0;4;2;0;0;70;"-19.9356309713014";"-43.9223882652442";"612774.71";"7795280.11"
"90748";"103";"1";"1";"SENADOR POMPEO, RUA";"212";26;0;0;0;0;0;0;0;0;0;0;2;7;2;4;0;3;0;2;0;4;0;0;0;0;24;"-19.9362707402093";"-43.9200309100884";"613020.98";"7795207.72"
"90934";"103";"1";"1";"SERENATA, RUA";"42";35;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;3;1;0;0;0;0;10;"-19.9359867041528";"-43.9107718644382";"613990.25";"7795232.9"
"91074";"103";"1";"1";"AGUAPEI, RUA";"33";24;0;0;0;0;0;2;4;7;0;10;9;7;12;12;19;5;12;2;14;0;1;8;0;0;124;"-19.9344186954734";"-43.9230476264246";"612706.56";"7795414.72"
"40194";"104";"1";"1";"DO CONTORNO, AVE";"11675";1;0;0;0;0;0;1;0;1;6;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;13;"-19.91316165087852";"-43.94241041041202";"610694.8";"7797780.19"
"40194";"104";"1";"1";"DO CONTORNO, AVE";"11675";23;0;0;0;0;0;1;0;1;6;1;0;1;0;0;0;2;0;0;1;0;0;0;0;0;13;"-19.91316165087852";"-43.94241041041202";"610694.8";"7797780.19"
"90006";"104";"1";"1";"AFONSO PENA, AVE";"388";3;0;0;0;0;0;21;18;11;4;2;6;4;0;0;2;0;3;0;9;2;0;0;0;0;82;"-19.9170975475709";"-43.9400840936075";"610935.57";"7797343.06"
"90010";"104";"1";"1";"AFONSO PENA, AVE";"776";4;0;0;0;0;0;18;0;3;6;2;3;4;0;0;0;0;0;0;4;0;0;0;0;0;40;"-19.92014376109998";"-43.93820354857247";"611130.28";"7797004.68"
"90015";"104";"1";"1";"AFONSO PENA, AVE";"1162";5;0;0;0;0;0;1;0;0;3;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;8;"-19.92311560635987";"-43.93635232671667";"611321.97";"7796674.55"
"90019";"104";"1";"1";"AFONSO PENA, AVE";"1421";19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"-19.92496697139197";"-43.93477949331727";"611485.3";"7796468.61"
"90025";"104";"1";"1";"AFONSO PENA, AVE";"1908";7;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"-19.92897117203873";"-43.93271685377081";"611698.38";"7796024.08"
"90026";"104";"1";"1";"AFONSO PENA, AVE";"2323";17;0;0;0;0;0;0;1;0;0;0;6;1;2;0;0;0;0;3;0;4;0;0;0;0;17;"-19.93196114389592";"-43.93042073388988";"611936.6";"7795691.64"
"90027";"104";"1";"1";"AFONSO PENA, AVE";"2372";8;0;0;0;0;0;3;1;0;1;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;10;"-19.932558573124";"-43.930486970743";"611929.25";"7795625.56"
"90028";"104";"1";"1";"AFONSO PENA, AVE";"2755";16;0;0;0;0;0;0;2;1;0;0;1;0;2;0;0;2;0;3;0;0;0;0;0;0;11;"-19.9352103900918";"-43.9284277880731";"612142.9";"7795330.7"
"90029";"104";"1";"1";"AFONSO PENA, AVE";"2770";9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"-19.93556475098641";"-43.9285850256664";"612126.19";"7795291.59"
"90030";"104";"1";"1";"AFONSO PENA, AVE";"2981";15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;4;"-19.93699398812784";"-43.9273116882254";"612258.45";"7795132.56"
